Method,d,SHD,SHD_INT,Runtime,Runtime_INT
DAGMA,20,6.78,1.64,6.54,0.42
DAGMA,30,11.05,2.5,8.99,0.62
DAGMA,50,12.03,3.42,16.88,0.98
DAGMA,80,13.92,4.44,41.55,3.3
DAGMA,100,17.8,5.72,59.36,4.8
GOLEM,20,4.28,1.38,154.64,2.5
GOLEM,30,9.48,3.1,177.21,5.62
GOLEM,50,19.6,7.3,231.53,3.58
GOLEM,80,33.68,12.87,324.41,7.1
GOLEM,100,70.95,26.11,458.94,8.62
NOTEARS,20,10.53,1.58,32.41,3.72
NOTEARS,30,22.7,6.04,104.76,20.43
NOTEARS,50,34.82,7.96,278.13,40.14
NOTEARS,80,52.22,13.49,640.95,89.24
NOTEARS,100,75.87,13.97,1129.1,120.74
